pos,signal,snr,fspl,label
215,-13,10.80000019,-97.65237053,1
216,-23,10.5,0,0
217,-78,11.5,-91.38962752,1
218,-83,-16.20000076,-97.65237053,1
219,-17,11.19999981,0,0
220,-102,-14.19999981,-105.7945599,1
221,-81,9.5,-83.11070919,1
222,-106,-15.80000019,-100.0230238,1
223,-103,-15.80000019,-99.57699444,1
224,-107,3.5,-112.2884294,1
225,-103,-9.5,-101.3586187,1
226,-118,-15.80000019,-96.96596808,1
227,-80,10,-81.59079771,1
228,-108,4,-112.2884294,1
229,-106,-1.5,-106.9184023,1
230,-113,0.5,-112.2884294,1
231,-107,10.80000019,-79.98820345,1
232,-85,9.199999809,-81.59079771,1
233,-79,9.199999809,-83.11070919,1
234,-92,-2,-115.8896429,1
235,-103,-9.800000191,-103.6813415,1
236,-64,8,-87.14326499,1
237,-58,9,-68.152824,1
238,-107,-2.5,-106.9184023,1
239,-121,-11.80000019,-104.4757539,1
240,-95,-12.5,-110.713529,1
241,-84,6.199999809,-87.29518495,1
242,-106,-2.5,-106.9184023,1
243,-104,4.800000191,-112.2884294,1
244,-78,8.5,-81.59079771,1
245,-108,5.5,-112.2884294,1
246,-104,-12.5,-99.57699444,1
247,-123,-10,-114.8410086,1
248,-109,-10.5,-114.6115443,1
249,-73,8.199999809,-106.2482876,1
250,-109,-11.80000019,-104.7684558,1
251,-110,-3,-115.5470167,1
252,-115,-13.19999981,-104.8150695,1
253,-107,-7.199999809,-106.9184023,1
254,-91,3,-115.8896429,1
255,-104,-11.80000019,-100.0230238,1
256,-90,8.800000191,-81.08303684,1
257,-107,-3.200000048,-106.9184023,1
258,-108,-15,-104.7684558,1
259,-72,7.199999809,-91.85805559,1
260,-105,-15,-94.54716277,1
261,-106,5.800000191,-112.2884294,1
262,-88,-2.5,-114.454105,1
263,-108,6.199999809,-115.1640003,1
264,-119,-3.5,-96.96596808,1
265,-106,-14.5,-97.08308672,1
266,-119,-9.5,-105.9922137,1
267,-87,7.800000191,-81.59079771,1
268,-102,2.799999952,-106.9639922,1
269,-111,6.800000191,-106.9639922,1
270,-106,-15,-97.84364944,1
271,-119,-12.5,-96.96596808,1
272,-80,10,-83.11070919,1
273,-92,7.199999809,-87.79949141,1
274,-81,9,-83.11070919,1
275,-98,-17.20000076,-100.8349273,1
276,-84,9.800000191,-81.59079771,1
277,-102,-9.5,-101.3586187,1
278,-101,9.5,-115.1640003,1
279,-92,-14.5,-95.73304949,1
280,-101,0.5,-106.9184023,1
281,-123,-8.199999809,-104.0038355,1
282,-109,-9.5,-104.7684558,1
283,-115,-6.199999809,-101.0519123,1
284,-97,12,-84.75507686,1
285,-81,10.19999981,-84.97811207,1
286,-123,-5.199999809,-87.26132682,1
287,-123,-4,-87.26132682,1
288,-90,14,-84.75507686,1
289,-75,10.80000019,-84.97811207,1
290,-75,11,-84.97811207,1
291,-89,11.19999981,-84.75507686,1
292,-125,-4,-87.26132682,1
293,-109,8.199999809,-83.488743,1
294,-69,8.5,-84.97811207,1
295,-89,11.80000019,-84.75507686,1
296,-108,7.199999809,-83.488743,1
297,-71,9.199999809,-84.97811207,1
298,-93,13.19999981,-84.75507686,1
299,-91,9,-84.75507686,1
300,-123,-3,-87.26132682,1
301,-113,8.199999809,-83.488743,1
302,-90,10.80000019,-84.75507686,1
303,-73,10,-84.97811207,1
304,-109,8.800000191,-83.488743,1
305,-121,-2,-87.26132682,1
306,-93,13,-84.75507686,1
307,-97,13.5,-84.75507686,1
308,-125,-2,-87.26132682,1
309,-85,11,-84.97811207,1
310,-103,10,-84.75507686,1
311,-126,-1,-87.26132682,1
312,-117,8,-83.488743,1
313,-125,-2,-87.26132682,1
314,-91,8.800000191,-84.75507686,1
315,-113,7.5,-83.488743,1
316,-71,7.800000191,-84.97811207,1
317,-124,-4,-87.26132682,1
318,-81,9.800000191,-84.97811207,1
319,-119,7.800000191,-83.488743,1
320,-95,13.5,-84.75507686,1
321,-75,10,-84.97811207,1
322,-125,-4.800000191,-87.26132682,1
323,-89,11.5,-84.75507686,1
324,-73,10.19999981,-84.97811207,1
325,-114,7.199999809,-83.488743,1
326,-124,-5.5,-87.26132682,1
327,-93,14,-84.75507686,1
328,-69,10,-84.97811207,1
329,-90,12.5,-84.75507686,1
330,-110,7.800000191,-83.488743,1
331,-91,11.5,-84.75507686,1
332,-124,-6.199999809,-87.26132682,1
333,-113,7.199999809,-83.488743,1
334,-124,-3.200000048,-87.26132682,1
335,-90,9.800000191,-84.75507686,1
336,-125,-5.199999809,-87.26132682,1
337,-109,8.800000191,-83.488743,1
338,-71,10.5,-84.97811207,1
339,-97,12,-84.75507686,1
340,-122,-3.200000048,-87.26132682,1
341,-113,8.5,-83.488743,1
342,-72,8.5,-84.97811207,1
343,-89,9.5,-84.75507686,1
344,-71,9,-84.97811207,1
345,-111,7,-83.488743,1
346,-124,-3.799999952,-87.26132682,1
347,-72,9.800000191,-84.97811207,1
348,-123,-3.5,-87.26132682,1
349,-89,10,-84.75507686,1
350,-124,-4.5,-87.26132682,1
351,-90,8.199999809,-84.75507686,1
352,-124,-3.799999952,-87.26132682,1
353,-111,6.5,-83.488743,1
354,-71,10.19999981,-84.97811207,1
