pos,signal,snr,fspl,label
136,3.98E-12,6.5,8.60E-12,1
137,7.94E-14,5.5,3.13E-14,1
138,1.58E-14,9.5,6.03E-12,1
139,2.51E-09,13.80000019,5.81E-12,1
140,1.26E-11,12.19999981,1.46E-10,1
141,1.26E-13,-10.5,2.36E-12,1
142,6.31E-14,-14.5,2.01E-12,1
143,7.94E-16,-15.5,8.24E-14,1
144,6.31E-14,-9.5,2.45E-12,1
145,5.01E-15,-10.19999981,8.06E-14,1
146,3.98E-15,-7,8.06E-14,1
147,1.00E-15,-14.19999981,3.08E-12,1
148,3.98E-14,-6,2.35E-12,1
149,7.94E-16,-7.5,8.24E-14,1
150,6.31E-14,-5.800000191,2.01E-12,1
151,7.94E-16,-11.80000019,8.24E-14,1
152,3.16E-15,-6.800000191,7.07E-12,1
153,1.26E-15,-11.5,7.52E-13,1
154,6.31E-14,-15,1.29E-12,1
155,5.01E-15,-11.5,8.06E-14,1
156,3.16E-14,-7,2.35E-12,1
157,5.01E-14,-3.5,2.52E-12,1
158,7.94E-14,-14.80000019,2.45E-12,1
159,3.98E-11,12.19999981,2.09E-09,1
160,6.31E-14,-11,2.01E-12,1
161,2.00E-13,-12.19999981,8.42E-14,1
162,5.01E-16,-10.5,1.43E-13,1
163,7.94E-09,13,5.55E-14,1
164,7.94E-09,14.5,5.55E-14,1
165,3.16E-14,-15.5,2.47E-12,1
166,7.94E-09,10.80000019,5.55E-14,1
167,5.01E-16,-9.800000191,1.43E-13,1
168,2.00E-13,-11.19999981,8.42E-14,1
169,6.31E-09,9.199999809,5.55E-14,1
170,5.01E-16,-8.199999809,1.43E-13,1
171,6.31E-09,15,5.55E-14,1
172,2.51E-14,-12.80000019,2.47E-12,1
173,7.94E-09,13.19999981,5.55E-14,1
174,7.94E-16,-8.199999809,1.43E-13,1
175,6.31E-09,14.5,5.55E-14,1
176,7.94E-09,13.80000019,5.55E-14,1
177,2.00E-14,-12.19999981,2.47E-12,1
178,6.31E-09,12.5,5.55E-14,1
179,7.94E-09,13,5.55E-14,1
180,7.94E-16,-5.800000191,1.43E-13,1
181,7.94E-09,13.80000019,5.55E-14,1
182,6.31E-09,11.5,5.55E-14,1
183,6.31E-09,15,5.55E-14,1
184,7.94E-09,14,5.55E-14,1
185,1.26E-13,-9.199999809,8.42E-14,1
186,1.26E-15,-6.5,1.43E-13,1
187,7.94E-09,11.80000019,5.55E-14,1
188,1.26E-13,-7,8.42E-14,1
189,6.31E-09,13.5,5.55E-14,1
190,6.31E-09,15.19999981,5.55E-14,1
191,7.94E-09,13.5,5.55E-14,1
192,2.51E-13,-15.5,8.42E-14,1
193,7.94E-09,14.5,5.55E-14,1
194,7.94E-09,14.5,5.55E-14,1
195,7.94E-09,14,5.55E-14,1
196,2.51E-11,14.5,7.26E-13,1
197,1.58E-05,10.80000019,1.72E-13,1
198,1.58E-05,10.5,0.001,0
199,5.01E-06,14.19999981,1.72E-13,1
200,3.16E-13,-3,0.001,0
201,7.94E-13,12.19999981,7.26E-13,1
202,5.01E-06,13.19999981,1.72E-13,1
203,2.00E-12,12.19999981,7.26E-13,1
204,7.94E-07,13.80000019,0.001,0
205,7.94E-13,15.5,7.26E-13,1
206,1.26E-05,11.19999981,1.72E-13,1
207,6.31E-11,-13.19999981,0.001,0
208,2.51E-05,12.5,1.72E-13,1
209,6.31E-06,13,0.001,0
210,3.98E-12,13.5,7.26E-13,1
211,2.51E-10,-12.5,1.72E-13,1
212,3.98E-12,13,7.26E-13,1
213,7.94E-07,14.80000019,0.001,0
214,2.00E-11,14,7.26E-13,1
215,5.01E-05,10.80000019,1.72E-13,1
216,5.01E-06,10.5,0.001,0
217,1.58E-11,11.5,7.26E-13,1
218,5.01E-12,-16.20000076,1.72E-13,1
219,2.00E-05,11.19999981,0.001,0
220,6.31E-14,-14.19999981,2.63E-14,1
221,7.94E-12,9.5,4.89E-12,1
222,2.51E-14,-15.80000019,9.95E-14,1
223,5.01E-14,-15.80000019,1.10E-13,1
224,2.00E-14,3.5,5.90E-15,1
225,5.01E-14,-9.5,7.31E-14,1
226,1.58E-15,-15.80000019,2.01E-13,1
227,1.00E-11,10,6.93E-12,1
228,1.58E-14,4,5.90E-15,1
229,2.51E-14,-1.5,2.03E-14,1
230,5.01E-15,0.5,5.90E-15,1
231,2.00E-14,10.80000019,1.00E-11,1
232,3.16E-12,9.199999809,6.93E-12,1
233,1.26E-11,9.199999809,4.89E-12,1
234,6.31E-13,-2,2.58E-15,1
235,5.01E-14,-9.800000191,4.28E-14,1
236,3.98E-10,8,1.93E-12,1
237,1.58E-09,9,1.53E-10,1
238,2.00E-14,-2.5,2.03E-14,1
239,7.94E-16,-11.80000019,3.57E-14,1
240,3.16E-13,-12.5,8.48E-15,1
241,3.98E-12,6.199999809,1.86E-12,1
242,2.51E-14,-2.5,2.03E-14,1
243,3.98E-14,4.800000191,5.90E-15,1
244,1.58E-11,8.5,6.93E-12,1
245,1.58E-14,5.5,5.90E-15,1
246,3.98E-14,-12.5,1.10E-13,1
247,5.01E-16,-10,3.28E-15,1
248,1.26E-14,-10.5,3.46E-15,1
249,5.01E-11,8.199999809,2.37E-14,1
250,1.26E-14,-11.80000019,3.34E-14,1
251,1.00E-14,-3,2.79E-15,1
252,3.16E-15,-13.19999981,3.30E-14,1
253,2.00E-14,-7.199999809,2.03E-14,1
254,7.94E-13,3,2.58E-15,1
255,3.98E-14,-11.80000019,9.95E-14,1
256,1.00E-12,8.800000191,7.79E-12,1
257,2.00E-14,-3.200000048,2.03E-14,1
258,1.58E-14,-15,3.34E-14,1
259,6.31E-11,7.199999809,6.52E-13,1
260,3.16E-14,-15,3.51E-13,1
261,2.51E-14,5.800000191,5.90E-15,1
262,1.58E-12,-2.5,3.59E-15,1
263,1.58E-14,6.199999809,3.05E-15,1
264,1.26E-15,-3.5,2.01E-13,1
265,2.51E-14,-14.5,1.96E-13,1
266,1.26E-15,-9.5,2.52E-14,1
267,2.00E-12,7.800000191,6.93E-12,1
268,6.31E-14,2.799999952,2.01E-14,1
269,7.94E-15,6.800000191,2.01E-14,1
270,2.51E-14,-15,1.64E-13,1
271,1.26E-15,-12.5,2.01E-13,1
272,1.00E-11,10,4.89E-12,1
273,6.31E-13,7.199999809,1.66E-12,1
274,7.94E-12,9,4.89E-12,1
275,1.58E-13,-17.20000076,8.25E-14,1
276,3.98E-12,9.800000191,6.93E-12,1
277,6.31E-14,-9.5,7.31E-14,1
278,7.94E-14,9.5,3.05E-15,1
279,6.31E-13,-14.5,2.67E-13,1
280,7.94E-14,0.5,2.03E-14,1
281,5.01E-16,-8.199999809,3.98E-14,1
282,1.26E-14,-9.5,3.34E-14,1
283,3.16E-15,-6.199999809,7.85E-14,1
284,2.00E-13,12,3.35E-12,1
285,7.94E-12,10.19999981,3.18E-12,1
286,5.01E-16,-5.199999809,1.88E-12,1
287,5.01E-16,-4,1.88E-12,1
288,1.00E-12,14,3.35E-12,1
289,3.16E-11,10.80000019,3.18E-12,1
290,3.16E-11,11,3.18E-12,1
291,1.26E-12,11.19999981,3.35E-12,1
292,3.16E-16,-4,1.88E-12,1
293,1.26E-14,8.199999809,4.48E-12,1
294,1.26E-10,8.5,3.18E-12,1
295,1.26E-12,11.80000019,3.35E-12,1
296,1.58E-14,7.199999809,4.48E-12,1
297,7.94E-11,9.199999809,3.18E-12,1
298,5.01E-13,13.19999981,3.35E-12,1
299,7.94E-13,9,3.35E-12,1
300,5.01E-16,-3,1.88E-12,1
301,5.01E-15,8.199999809,4.48E-12,1
302,1.00E-12,10.80000019,3.35E-12,1
303,5.01E-11,10,3.18E-12,1
304,1.26E-14,8.800000191,4.48E-12,1
305,7.94E-16,-2,1.88E-12,1
306,5.01E-13,13,3.35E-12,1
307,2.00E-13,13.5,3.35E-12,1
308,3.16E-16,-2,1.88E-12,1
309,3.16E-12,11,3.18E-12,1
310,5.01E-14,10,3.35E-12,1
311,2.51E-16,-1,1.88E-12,1
312,2.00E-15,8,4.48E-12,1
313,3.16E-16,-2,1.88E-12,1
314,7.94E-13,8.800000191,3.35E-12,1
315,5.01E-15,7.5,4.48E-12,1
316,7.94E-11,7.800000191,3.18E-12,1
317,3.98E-16,-4,1.88E-12,1
318,7.94E-12,9.800000191,3.18E-12,1
319,1.26E-15,7.800000191,4.48E-12,1
320,3.16E-13,13.5,3.35E-12,1
321,3.16E-11,10,3.18E-12,1
322,3.16E-16,-4.800000191,1.88E-12,1
323,1.26E-12,11.5,3.35E-12,1
324,5.01E-11,10.19999981,3.18E-12,1
325,3.98E-15,7.199999809,4.48E-12,1
326,3.98E-16,-5.5,1.88E-12,1
327,5.01E-13,14,3.35E-12,1
328,1.26E-10,10,3.18E-12,1
329,1.00E-12,12.5,3.35E-12,1
330,1.00E-14,7.800000191,4.48E-12,1
331,7.94E-13,11.5,3.35E-12,1
332,3.98E-16,-6.199999809,1.88E-12,1
333,5.01E-15,7.199999809,4.48E-12,1
334,3.98E-16,-3.200000048,1.88E-12,1
335,1.00E-12,9.800000191,3.35E-12,1
336,3.16E-16,-5.199999809,1.88E-12,1
337,1.26E-14,8.800000191,4.48E-12,1
338,7.94E-11,10.5,3.18E-12,1
339,2.00E-13,12,3.35E-12,1
340,6.31E-16,-3.200000048,1.88E-12,1
341,5.01E-15,8.5,4.48E-12,1
342,6.31E-11,8.5,3.18E-12,1
343,1.26E-12,9.5,3.35E-12,1
344,7.94E-11,9,3.18E-12,1
345,7.94E-15,7,4.48E-12,1
346,3.98E-16,-3.799999952,1.88E-12,1
347,6.31E-11,9.800000191,3.18E-12,1
348,5.01E-16,-3.5,1.88E-12,1
349,1.26E-12,10,3.35E-12,1
350,3.98E-16,-4.5,1.88E-12,1
351,1.00E-12,8.199999809,3.35E-12,1
352,3.98E-16,-3.799999952,1.88E-12,1
353,7.94E-15,6.5,4.48E-12,1
354,7.94E-11,10.19999981,3.18E-12,1
355,3.16E-14,7,4.48E-12,1
356,1.26E-12,13.5,3.35E-12,1
357,5.01E-13,13,3.35E-12,1
358,7.94E-16,-2.200000048,1.88E-12,1
359,3.98E-15,5.199999809,4.48E-12,1
360,7.94E-16,-0.5,1.88E-12,1
361,1.00E-12,11.80000019,3.35E-12,1
362,3.98E-15,6.800000191,4.48E-12,1
363,6.31E-15,7,4.48E-12,1
364,1.00E-12,10,3.35E-12,1
365,5.01E-16,-3.5,1.88E-12,1
366,1.00E-14,7.5,4.48E-12,1
367,5.01E-16,-1.799999952,1.88E-12,1
368,1.26E-10,8.199999809,3.18E-12,1
369,6.31E-11,9.5,3.18E-12,1
370,3.98E-16,-2.5,1.88E-12,1
371,6.31E-15,7.800000191,4.48E-12,1
372,3.98E-15,7.199999809,4.48E-12,1
373,2.51E-13,10.19999981,3.35E-12,1
374,1.58E-11,10.19999981,3.18E-12,1
375,3.16E-13,9.800000191,3.35E-12,1
376,5.01E-16,-3.799999952,1.88E-12,1
377,6.31E-11,10.5,3.18E-12,1
378,7.94E-14,7.5,3.35E-12,1
379,5.01E-15,5.800000191,4.48E-12,1
380,7.94E-16,-3.200000048,1.88E-12,1
381,2.00E-12,9,3.35E-12,1
382,3.98E-15,7.800000191,4.48E-12,1
383,3.98E-16,-3.799999952,1.88E-12,1
384,2.51E-16,-1.5,1.88E-12,1
385,7.94E-14,12,3.35E-12,1
386,1.26E-15,7.5,4.48E-12,1
387,3.98E-14,-2.200000048,1.50E-12,1
388,5.01E-14,-12.5,3.12E-12,1
389,5.01E-14,-0.200000003,1.10E-13,1
390,5.01E-13,3.200000048,2.37E-12,1
391,3.16E-14,-5.800000191,1.50E-12,1
392,3.16E-13,4,2.37E-12,1
393,3.16E-14,-7.800000191,1.50E-12,1
394,7.94E-14,-7.800000191,1.50E-12,1
395,3.98E-13,3,2.37E-12,1
396,3.98E-13,2.5,2.37E-12,1
397,3.98E-14,-4.5,1.10E-13,1
398,7.94E-13,5.199999809,2.37E-12,1
399,3.98E-14,-13.80000019,3.12E-12,1
400,3.98E-14,-5.199999809,1.50E-12,1
401,2.51E-08,14,2.79E-12,1
402,7.94E-16,-7.800000191,1.45E-14,1
403,5.01E-14,-4,1.14E-14,1
404,3.16E-08,15,2.79E-12,1
405,3.16E-16,-13.19999981,6.89E-14,1
406,5.01E-14,-5,1.14E-14,1
407,1.00E-15,-15.5,2.71E-14,1
408,7.94E-14,-2.799999952,1.14E-14,1
409,5.01E-16,-6.199999809,1.45E-14,1
410,7.94E-16,-12.19999981,6.89E-14,1
411,3.98E-14,-14.80000019,8.65E-15,1
412,1.26E-15,-15.5,2.71E-14,1
413,3.16E-08,15,2.79E-12,1
414,6.31E-14,-9.800000191,1.14E-14,1
415,7.94E-16,-12.19999981,1.45E-14,1
416,1.00E-15,-16,2.71E-14,1
417,5.01E-16,-11.19999981,6.89E-14,1
418,5.01E-16,-14.19999981,6.89E-14,1
419,7.94E-16,-14,6.89E-14,1
420,3.98E-14,-15.80000019,8.65E-15,1
421,7.94E-16,-12.80000019,6.89E-14,1
422,5.01E-16,-15.5,6.89E-14,1
423,1.58E-08,10.80000019,2.79E-12,1
424,7.94E-16,-9.199999809,4.59E-14,1
425,5.01E-16,-12.5,1.45E-14,1
426,1.58E-13,-13,3.82E-17,1
427,7.94E-15,-10.80000019,6.89E-14,1
428,3.16E-08,15,2.79E-12,1
429,1.58E-15,-10.19999981,2.71E-14,1
430,1.26E-13,-15.5,3.82E-17,1
431,3.98E-14,-6.5,1.14E-14,1
432,2.51E-08,9.5,2.79E-12,1
433,1.00E-15,-14.5,2.71E-14,1
434,5.01E-14,-7.199999809,1.14E-14,1
435,7.94E-16,-9.800000191,1.45E-14,1
436,3.98E-08,14.19999981,2.79E-12,1
437,5.01E-16,-9,4.59E-14,1
438,1.00E-15,-12,2.71E-14,1
439,5.01E-16,-11,1.45E-14,1
440,5.01E-14,-7.5,1.14E-14,1
441,5.01E-16,-9.5,1.45E-14,1
442,1.26E-15,-17,2.71E-14,1
443,2.51E-08,15.5,2.79E-12,1
444,5.01E-14,-1.5,1.14E-14,1
445,6.31E-14,-10.80000019,6.18E-14,1
446,3.16E-14,-5.800000191,1.01E-13,1
447,3.98E-15,-0.8000000119,4.10E-14,1
448,7.94E-15,5.800000191,4.10E-14,1
449,1.00E-15,-6.5,6.66E-14,1
450,3.16E-15,-13,4.40E-14,1
451,5.01E-14,-10,1.01E-13,1
452,6.31E-14,-8.800000191,6.18E-14,1
453,2.00E-15,2.5,4.10E-14,1
454,3.98E-14,-13.80000019,6.18E-14,1
455,7.94E-16,-5.5,6.66E-14,1
456,6.31E-14,-9.199999809,1.01E-13,1
457,2.00E-15,-8.800000191,6.18E-14,1
458,2.51E-14,-7.199999809,1.01E-13,1
459,1.00E-15,-5,6.66E-14,1
460,1.58E-15,-11.80000019,4.40E-14,1
461,5.01E-14,-7,6.18E-14,1
462,2.00E-15,-10.19999981,4.89E-14,1
463,1.26E-15,-11.19999981,6.18E-14,1
464,3.16E-14,-7.5,1.01E-13,1
465,3.16E-14,-7.5,1.01E-13,1
466,2.00E-15,-7.5,6.18E-14,1
467,7.94E-15,4.199999809,4.10E-14,1
468,3.98E-14,-9.800000191,6.18E-14,1
469,2.00E-15,-11,6.18E-14,1
470,2.00E-15,0.200000003,4.10E-14,1
471,3.16E-14,-7.800000191,1.01E-13,1
472,3.16E-15,-14.5,4.40E-14,1
473,2.00E-15,3.799999952,4.10E-14,1
474,1.00E-15,-14,6.66E-14,1
475,7.94E-16,-12,6.66E-14,1
476,5.01E-14,-12,6.18E-14,1
477,3.16E-14,-7.5,1.01E-13,1
478,1.58E-15,-12,4.10E-14,1
479,3.98E-15,-10.80000019,6.18E-14,1
480,5.01E-14,-7,6.18E-14,1
481,2.51E-14,-8.199999809,1.01E-13,1
482,5.01E-15,-5.800000191,4.10E-14,1
483,3.98E-14,-6.199999809,6.18E-14,1
484,7.94E-16,-10.19999981,6.66E-14,1
485,3.16E-14,-7.199999809,1.01E-13,1
486,5.01E-15,-3.200000048,4.10E-14,1
487,1.58E-15,-13.5,6.18E-14,1
488,3.16E-14,-7.800000191,1.01E-13,1
489,3.98E-15,-6.199999809,4.10E-14,1
490,1.00E-15,-8.199999809,6.66E-14,1
491,6.31E-14,-10.5,6.18E-14,1
492,1.26E-14,6.199999809,4.10E-14,1
493,6.31E-14,-6.800000191,6.18E-14,1
494,2.00E-15,-9.800000191,6.18E-14,1
495,5.01E-14,-10.19999981,1.01E-13,1
496,7.94E-15,-9,1.67E-13,1
497,1.58E-15,-4.800000191,6.66E-14,1
498,1.26E-14,5.199999809,4.10E-14,1
499,2.00E-15,-7,6.18E-14,1
500,6.31E-14,-7.800000191,6.18E-14,1
501,5.01E-14,-11.5,1.01E-13,1
502,7.94E-14,-8.800000191,6.18E-14,1
503,2.00E-15,-12,6.18E-14,1
504,3.16E-14,-8,1.67E-13,1
505,6.31E-14,-10,1.01E-13,1
506,6.31E-15,-0.200000003,4.10E-14,1
507,1.58E-14,-14.19999981,4.00E-14,1
508,6.31E-14,-9.5,6.18E-14,1
509,1.00E-15,-4,6.66E-14,1
510,1.58E-15,-4.800000191,1.67E-13,1
511,7.94E-16,-11.5,6.66E-14,1
512,5.01E-14,-6.5,6.18E-14,1
513,3.16E-15,1,4.10E-14,1
514,5.01E-14,-10.5,1.01E-13,1
515,1.58E-14,-9.199999809,1.60E-13,1
516,1.26E-14,-12,4.86E-14,1
517,2.51E-15,-8.5,6.66E-14,1
518,2.51E-14,-9.800000191,1.01E-13,1
519,6.31E-14,-6.199999809,6.18E-14,1
520,2.00E-15,-7.199999809,6.18E-14,1
521,1.00E-12,5,4.10E-14,1
522,1.26E-14,2.799999952,4.10E-14,1
523,1.26E-15,-4.5,6.66E-14,1
524,3.98E-14,-9.199999809,6.18E-14,1
525,1.26E-15,-11.80000019,6.18E-14,1
526,3.16E-14,-7,1.01E-13,1
527,5.01E-14,-7,6.18E-14,1
528,2.00E-15,-10,6.18E-14,1
529,1.26E-14,5.800000191,4.10E-14,1
530,1.26E-15,-7,6.66E-14,1
531,2.00E-15,-14.5,4.40E-14,1
532,6.31E-14,-7.5,6.18E-14,1
533,5.01E-14,-12,1.01E-13,1
534,1.00E-15,-8,1.60E-13,1
535,2.51E-15,-8.5,6.18E-14,1
536,3.16E-16,-4,1.67E-13,1
537,3.16E-14,-10.80000019,1.47E-12,1
538,3.16E-14,-16,1.47E-12,1
539,2.51E-14,-16.20000076,1.47E-12,1
540,3.98E-14,-7.800000191,1.47E-12,1
541,3.98E-14,-11.19999981,1.47E-12,1
542,5.01E-14,-14,1.47E-12,1
543,5.01E-14,-7.199999809,1.47E-12,1
544,7.94E-05,11,1.12E-15,0
545,0.000316227766,12.5,5.32E-15,0
546,2.00E-05,9.5,1.12E-15,0
547,0.0001995262315,9.800000191,1.12E-15,0
548,1.26E-05,11.19999981,5.32E-15,0
549,3.16E-05,11.5,1.12E-15,0
550,1.26E-05,12.5,5.32E-15,0
551,6.31E-05,12.5,1.12E-15,0
552,0.00316227766,10.80000019,1.12E-15,0
553,2.51E-05,11,5.32E-15,0
554,0.005011872336,9.800000191,1.12E-15,0
555,7.94E-05,10.19999981,1.12E-15,0
556,7.94E-10,11.80000019,5.55E-12,0
557,2.51E-13,8.800000191,1.10E-12,0
558,3.16E-13,12,3.35E-12,0
559,2.00E-13,10.19999981,1.08E-12,0
560,1.00E-09,13.19999981,5.55E-12,0
561,1.26E-09,12.80000019,5.55E-12,0
562,5.01E-13,10.19999981,1.08E-12,0
563,2.51E-13,8.800000191,1.10E-12,0
564,1.26E-12,11.5,3.35E-12,0
565,7.94E-10,13,5.55E-12,0
566,3.16E-13,10,1.10E-12,0
567,7.94E-13,12.5,3.35E-12,0
568,1.58E-13,10.5,1.10E-12,0
569,1.26E-12,8.5,3.35E-12,0
570,1.00E-09,10.5,5.55E-12,0
571,2.51E-13,11.80000019,1.10E-12,0
572,2.00E-12,11,3.35E-12,0
573,1.26E-09,13,5.55E-12,0
574,7.94E-13,10.80000019,1.08E-12,0
575,1.26E-12,10.80000019,3.35E-12,0
576,1.58E-09,11,5.55E-12,0
577,1.26E-13,9.800000191,1.08E-12,0
578,2.00E-10,12.5,5.55E-12,0
579,2.00E-13,9,3.35E-12,0
580,3.16E-14,11.19999981,1.10E-12,0
581,1.26E-12,12.19999981,3.35E-12,0
582,1.58E-09,10.80000019,5.55E-12,0
583,5.01E-13,9.5,1.08E-12,0
584,1.58E-09,8.199999809,5.55E-12,0
585,3.16E-13,8.199999809,1.10E-12,0
586,5.01E-13,7.800000191,1.08E-12,0
587,1.00E-09,11.19999981,5.55E-12,0
588,7.94E-13,11.80000019,3.35E-12,0
589,2.51E-13,8,1.08E-12,0
590,3.98E-13,8.199999809,1.10E-12,0
